Heading,Sentiment
is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!,Negative
@Kenichan I dived many times for the ball. Managed to save 50%  The rest go out of bounds,Positive
my whole body feels itchy and like its on fire ,Negative
"@nationwideclass no, it's not behaving at all. i'm mad. why am i here? because I can't see you all over there. ",Negative
@Kwesidei not the whole crew ,Neutral
Need a hug ,Positive
"@LOLTrish hey  long time no see! Yes.. Rains a bit ,only a bit  LOL , I'm fine thanks , how's you ?",Positive
@Tatiana_K nope they didn't have it ,Neutral
@twittera que me muera ? ,Neutral
spring break in plain city... it's snowing ,Neutral
I just re-pierced my ears ,Neutral
@caregiving I couldn't bear to watch it.  And I thought the UA loss was embarrassing . . . . .,Negative
"@octolinz16 It it counts, idk why I did either. you never talk to me anymore ",Negative
"@smarrison i would've been the first, but i didn't have a gun.    not really though, zac snyder's just a doucheclown.",Positive
@iamjazzyfizzle I wish I got to watch it with you!! I miss you and @iamlilnicki  how was the premiere?!,Positive
Hollis' death scene will hurt me severely to watch on film  wry is directors cut not out now?,Negative
about to file taxes ,Neutral
@LettyA ahh ive always wanted to see rent  love the soundtrack!!,Positive
@FakerPattyPattz Oh dear. Were you drinking out of the forgotten table drinks? ,Positive
@alydesigns i was out most of the day so didn't get much done ,Neutral
"one of my friend called me, and asked to meet with her at Mid Valley today...but i've no time *sigh* ",Positive
@angry_barista I baked you a cake but I ated it ,Neutral
this week is not going as i had hoped ,Positive
blagh class at 8 tomorrow ,Neutral
I hate when I have to call and wake people up ,Negative
Just going to cry myself to sleep after watching Marley and Me.  ,Negative
im sad now  Miss.Lilly,Negative
ooooh.... LOL  that leslie.... and ok I won't do it again so leslie won't  get mad again ,Positive
Meh... Almost Lover is the exception... this track gets me depressed every time. ,Positive
some1 hacked my account on aim  now i have to make a new one,Negative
@alielayus I want to go to promote GEAR AND GROOVE but unfornately no ride there  I may b going to the one in Anaheim in May though,Negative
thought sleeping in was an option tomorrow but realizing that it now is not. evaluations in the morning and work in the afternoon! ,Neutral
